RT @Reforma: Los dir ..., 0.0, 2020-04-05 22:02:44.700082 
No 😭 ..., 0.091, 2020-04-05 22:02:44.973794
RT @RealJamesWoods:  ..., 0.0, 2020-04-05 22:02:45.166974
RT @CareGalway: #cor ..., 0.0, 2020-04-05 22:02:45.374089
#WhereAreTheVentilat ..., 0.0, 2020-04-05 22:02:45.590533
RT @RudyRiveraB: PER ..., 0.0, 2020-04-05 22:02:45.803775
RT @Reuters: 'Lockdo ..., -0.1531, 2020-04-05 22:02:46.021897
RT @Luentes: ¿Ya not ..., 0.0, 2020-04-05 22:02:46.255101
RT @WrittenByHanna:  ..., 0.0, 2020-04-05 22:02:46.467640
RT @JohnJHarwood: Ac ..., -0.8074, 2020-04-05 22:02:46.673484
RT @ianbremmer: You  ..., 0.0772, 2020-04-05 22:02:46.875949
RT @democracynow: .@ ..., 0.0, 2020-04-05 22:02:47.087676
RT @YoungDems4Trump: ..., 0.3612, 2020-04-05 22:02:47.293472
RT @DrDenaGrayson: C ..., 0.4767, 2020-04-05 22:02:47.495223
RT @latimes: In the  ..., 0.0, 2020-04-05 22:02:47.698107
RT @DougCameron51: M ..., -0.1511, 2020-04-05 22:02:47.904453
RT @NorbertElekes: N ..., 0.1779, 2020-04-05 22:02:48.119120
RT @EpicosTweets: Pa ..., -0.296, 2020-04-05 22:02:48.331303
RT @Juana66359443: R ..., 0.4019, 2020-04-05 22:02:48.553072
RT @maddow: “For day ..., -0.7003, 2020-04-05 22:45:36.247883 
RT @Charlot2409: Bes ..., 0.0, 2020-04-05 22:45:36.453846 
RT @Normsmusic: This ..., -0.656, 2020-04-05 22:45:36.611048 
RT @Infirmier0: Cett ..., 0.0, 2020-04-05 22:45:36.816460 
RT @Reuters: 'Lockdo ..., -0.1531, 2020-04-05 22:45:37.028799 
RT @Lubegarobert1: D ..., 0.3818, 2020-04-05 22:45:37.230965 
RT @ANI: 8 more peop ..., 0.5945, 2020-04-05 22:45:37.489702 
RT @ANI: 8 more peop ..., 0.5945, 2020-04-05 22:45:37.725705 
RT @ScottGottliebMD: ..., 0.0, 2020-04-05 22:45:37.952518 
